title,body,label,url
Define file subtype value behavior/expectations,"**Is your feature request related to a problem? Please describe.**
Not clear if the CFE_FS_InitHeader SubType needs to be one of the FS enums or if it can be user defined by apps.  Note there is no longer a shell file created by ES:
https://github.com/nasa/cFE/blob/e80aae94e0f56b868657daba965c590766a4dc57/modules/core_api/fsw/inc/cfe_fs_extern_typedefs.h#L101-L108

**Describe the solution you'd like**
Need to determine if FS should define all file subtypes, or treat it as an extendable field (or whatever).  That will affect if the SHELL subtype gets removed or renamed (since there is still an app that would create it).  Note right now apps don't even use `CFE_FS_InitHeader`, but they do currently set unique values.

**Describe alternatives you've considered**
None

**Additional context**
Code review

**Requester Info**
Jacob Hageman - NASA/GSFC
",non-bug,https://github.com/nasa/cFE/issues/1394
Disambiguate command vs message requirements ,"**Is your feature request related to a problem? Please describe.**
""Command"" terminology has been used for both ground commands (that increment command counters) and inter-app commands (that typically do not increment command counters).  So it's unclear in the requirement which sort of use case is intended.

**Describe the solution you'd like**
""Command"" is ground command with additional associated behavior (increments command counters), ""Message"" is typical sb message that does not increment command counter.

**Describe alternatives you've considered**
None

**Additional context**
Discovered during requirements scrub, helps clarify what impacts command counter.

**Requester Info**
Jacob Hageman - NASA/GSFC
",non-bug,https://github.com/nasa/cFE/issues/525
CFE_PLATFORM_ES_PERF_MAX_IDS not fully deprecated,"**Describe the bug**
CFE_PLATFORM_ES_PERF_MAX_IDS was superseded by CFE_MISSION_ES_PERF_MAX_IDS as noted in this comment: https://github.com/nasa/cFE/search?q=CFE_PLATFORM_ES_PERF_MAX_IDS. However, sample cpu1_platform_cfg.h still contains the definition for CFE_PLATFORM_ES_PERF_MAX_IDS is still referenced in es_UT.c and comments in cfe_es_events.h and sample_perfids.h

**To Reproduce**
N/A

**Expected behavior**
Either CFE_PLATFORM_ES_PERF_MAX_IDS should be totally deprecated and all references should be replaced by CFE_MISSION_ES_PERF_MAX_IDS or (if deemed necessary) support for platform-specific max values should be re-added in the perf-log implementation.

**Code snips**
cfe/cmake/sample_defs/cpu1_platform_cfg.h:1978
cfe/fsw/cfe-core/src/inc/cfe_es_events.h:1046
cfe/fsw/cfe-core/unit-test/es_UT.c:3664

**System observed on:**
N/A

**Additional context**
N/A

**Reporter Info**
PJ Chapates Gateway Vehicle System Manager FSW Production, JSC
",bug,https://github.com/nasa/cFE/issues/945
Improve table handling,"**Is your feature request related to a problem? Please describe.**
Doesn't actually allow table management within the task loop

**Describe the solution you'd like**
Actually follow the table management pattern, allowing updates (should be a decent example)

**Describe alternatives you've considered**
N/A

**Additional context**
N/A

**Requester Info**
Jacob Hageman - NASA/GSFC",non-bug,https://github.com/nasa/sch_lab/issues/27
ADT table size limit,"Hello, 

I would like to know if it is possible to increase the WDT table size (LC_MAX_ACTIONPOINTS). How much I can extend the size of WDT table ? How many AP I can define? Is there any limit?

Thanks.",non-bug,https://github.com/nasa/LC/issues/2
CF Purge Queue Command Opcode Not Defined,"**This issue was imported from the GSFC issue tracking system**

_Imported from_: [GSFCCFS-1765] CF Purge Queue Command Opcode Not Defined
_Originally submitted by_: Maldonado, Sergio E. (GSFC-580.0)[Arctic Slope Technical Services, Inc.] on Fri Oct 29 11:03:57 2021

_Original Description_:
The command opcode for Purge Queue is not present in the CF\_CMDS enumeration in cf\_msg.h. It should be present with a value of 21. The command dispatch table in cf\_cmd.c does have an entry for the command, as well as the implementation. Without the opcode defined, the command cannot be verified at the functional level. ",bug,https://github.com/nasa/CF/issues/36
File age check logic is wrong,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/DS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
Produces ~17 files in 10 minutes when requesting 1 file per minute

**To Reproduce**
1. Enable a 1 file per minute config
2. Watch ~17 files get produced

**Expected behavior**
1 file per minute when configured to do so

**Code snips**
The problem is how file age is accumulated.  W/ the default config, 4 seconds are added every HK message, and another second is added every 1 second SB timeout.  So within the typical 4 second scheduled HK request the file age gets incremented by 7 seconds (4 from HK processing and 3 from SB timeouts).

https://github.com/nasa/DS/blob/ce988535edffd6b36cc1083e10988c2d0a4a38db/fsw/src/ds_app.c#L124
https://github.com/nasa/DS/blob/ce988535edffd6b36cc1083e10988c2d0a4a38db/fsw/src/ds_app.c#L520

Really the time accumulation logic is broken since it's going to vary based on receiving any other command that would cause SB not to timeout.

Likely needs a functional test update to catch this issue.

**System observed on:**
Independent of system

**Additional context**
None

**Reporter Info**
Jacob Hageman - NASA/GSFC",bug,https://github.com/nasa/DS/issues/93
"""Error, Can't Open ES App Startup file: /cf/cfe_es_startup.scr"" when running a sample cpu1 application","**Is your feature request related to a problem? Please describe.**

I apologize in advance if the following issue that I am reporting is caused by my misunderstanding of the cFS/cFE CMake build system.

The issue is that I am getting the following issue when 1) I run the `make` command from the CFS repository and also 2) if I run it from CLion with the changes described in #478.
 
**1)**

```bash
cp cfe/cmake/Makefile.sample Makefile
cp -r cfe/cmake/sample_defs sample_defs
make && ./build/cpu1/cpu1/core-cpu1
```

The log:

```
...
Current working dir: /home/stanislaw/workspace/code/cFS
open(./cf/cfe_es_startup.scr): No such file or directory
1980-012-14:03:20.25202 zES Startup: Error, Can't Open ES App Startup file: /cf/cfe_es_startup.scr EC = 0xFFFFFFFF
1980-012-14:03:20.25205 ES Startup: CFE_ES_Main entering APPS_INIT state
1980-012-14:03:20.25206 ES Startup: CFE_ES_Main entering OPERATIONAL state
EVS Port1 42/1/CFE_TIME 21: Stop FLYWHEEL
```

**2**

```bash
cp cfe/cmake/Makefile.sample Makefile
cp -r cfe/cmake/sample_defs sample_defs
# Building cpu1-all and then core-cpu1 in CLion
```

The log:

```
1980-012-14:03:20.25314 ES Startup: CFE_ES_Main entering CORE_READY state
Current working dir: /home/stanislaw/workspace/code/cFS/cmake-build-debug-cfs-cpu1/cfe/cpu1
open(./cf/cfe_es_startup.scr): No such file or directory
1980-012-14:05:45.46664 zES Startup: Error, Can't Open ES App Startup file: /cf/cfe_es_startup.scr EC = 0xFFFFFFFF
1980-012-14:05:45.46666 ES Startup: CFE_ES_Main entering APPS_INIT state
1980-012-14:05:45.46667 ES Startup: CFE_ES_Main entering OPERATIONAL state
EVS Port1 42/1/CFE_TIME 21: Stop FLYWHEEL```
```

Looking for a missing file indicates that there is no way a running CFS can find a file because it is neither copied to a predetermined location nor the relative file `./cf/cfe_es_startup.scr` points to a meaningful location.

```bash
$ find . | grep cfe_es_startup.scr
./cfe/cmake/sample_defs/cpu1_cfe_es_startup.scr
./sample_defs/cpu1_cfe_es_startup.scr
```

**Describe the solution you'd like**

Our understanding is that the `cfe_es_startup.scr` is an important file and without loading its contents CFS does not work properly. We would expect some action to exist in the CMake script files that would copy this file and make it available to the running cFS.

**Describe alternatives you've considered**

We assume that there is no other way of having CFS to run properly. There should be a procedure or instructions on how to make the `.scr` file available to CFS.

**Additional context**

None.

**Requester Info**

Stanislav Pankevich (PTS, private German space company)
",non-bug,https://github.com/nasa/cFE/issues/482
Provide standard byte swap functionality via EDS utilities,As discussed on [cfs_psp:43],non-bug,https://github.com/nasa/cFE/issues/334
Buffer overflow in unit tests when using default config,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/LC/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
The unit test code sets the `EventText` member with a call to strncpy and a hardcoded size here:
https://github.com/nasa/LC/blob/779b903faef553299d8130aded0b9f5133ffa8c5/unit-test/lc_action_tests.c#L233

However in the default platform config the size is only 32:
https://github.com/nasa/LC/blob/779b903faef553299d8130aded0b9f5133ffa8c5/fsw/inc/lc_platform_cfg.h#L228

**To Reproduce**
Build and run using default/out-of-box config.

**Expected behavior**
Example configuration should not trigger buffer overflow

**Additional context**
Consider using `sizeof()` operator here, to adapt the `strncpy` call to the real size of the target buffer.

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.

",bug,https://github.com/nasa/LC/issues/66
