title,body,label,url
A global-buffer-overflow error in BufferQueueTest.cpp line 126,"| | |
|:---|:---|
|**_F´ Version_**|1.5 |
|**_Affected Component_**| Os/Pthreads |
---
## Problem Description

A global-buffer-overflow error in [BufferQueueTest.cpp line 126](https://github.com/nasa/fprime/blob/ada6e424b813e6434284bbde9f785656a61c8539/Os/Pthreads/test/ut/BufferQueueTest.cpp#L126)

```
zyh@virtual:~/fprime$ ./build-fprime-automatic-native-ut/bin/Linux/Os_pthreads
Creating queue.
Test empty queue...
Passed.
Test full queue...
Pushing 0.
Pushing 1.
Pushing 2.
Pushing 3.
Pushing 4.
Passed.
Test weird size...
Passed.
Test pop...
Popping 5.
Popping 4.
Popping 3.
Popping 2.
Popping 1.
Passed.
Test priorities...
Pushing 'hello' at priority 9.
Pushing 'how are you' at priority 4.
Pushing 'pretty good' at priority 100.
Pushing 'cosmic bro' at priority 4.
Pushing 'kthxbye' at priority 9.
Popped 'pretty good' at priority 100. Expected 'pretty good' at priority 100.
Popped 'hello' at priority 9. Expected 'hello' at priority 9.
=================================================================
==17078==ERROR: AddressSanitizer: global-buffer-overflow on address 0x000000550bc6 at pc 0x0000004b3f6b bp 0x7ffd804c4c90 sp 0x7ffd804c4440
READ of size 8 at 0x000000550bc6 thread T0
    #0 0x4b3f6a in __interceptor_memcmp.part.283 (/home/zyh/fprime/build-fprime-automatic-native-ut/bin/Linux/Os_pthreads+0x4b3f6a)
    #1 0x51d718 in main /home/zyh/fprime/Os/Pthreads/test/ut/BufferQueueTest.cpp:126:5
    #2 0x7f976cdadbf6 in __libc_start_main /build/glibc-S9d2JN/glibc-2.27/csu/../csu/libc-start.c:310
    #3 0x41ab89 in _start (/home/zyh/fprime/build-fprime-automatic-native-ut/bin/Linux/Os_pthreads+0x41ab89)

0x000000550bc6 is located 58 bytes to the left of global variable '<string literal>' defined in '/home/zyh/fprime/Os/Pthreads/test/ut/BufferQueueTest.cpp:98:43' (0x550c00) of size 12
  '<string literal>' is ascii string 'how are you'
0x000000550bc6 is located 0 bytes to the right of global variable '<string literal>' defined in '/home/zyh/fprime/Os/Pthreads/test/ut/BufferQueueTest.cpp:98:34' (0x550bc0) of size 6
  '<string literal>' is ascii string 'hello'
SUMMARY: AddressSanitizer: global-buffer-overflow (/home/zyh/fprime/build-fprime-automatic-native-ut/bin/Linux/Os_pthreads+0x4b3f6a) in __interceptor_memcmp.part.283
Shadow bytes around the buggy address:
  0x0000800a2120: f9 f9 f9 f9 00 00 00 00 00 00 00 01 f9 f9 f9 f9
  0x0000800a2130: 00 00 05 f9 f9 f9 f9 f9 00 01 f9 f9 f9 f9 f9 f9
  0x0000800a2140: 00 00 04 f9 f9 f9 f9 f9 00 05 f9 f9 f9 f9 f9 f9
  0x0000800a2150: 00 00 04 f9 f9 f9 f9 f9 00 05 f9 f9 f9 f9 f9 f9
  0x0000800a2160: 00 05 f9 f9 f9 f9 f9 f9 00 00 04 f9 f9 f9 f9 f9
=>0x0000800a2170: 00 00 04 f9 f9 f9 f9 f9[06]f9 f9 f9 f9 f9 f9 f9
  0x0000800a2180: 00 04 f9 f9 f9 f9 f9 f9 00 04 f9 f9 f9 f9 f9 f9
  0x0000800a2190: 00 03 f9 f9 f9 f9 f9 f9 00 f9 f9 f9 f9 f9 f9 f9
  0x0000800a21a0: 00 00 00 06 f9 f9 f9 f9 00 00 04 f9 f9 f9 f9 f9
  0x0000800a21b0: 00 00 00 00 00 00 00 03 f9 f9 f9 f9 00 04 f9 f9
  0x0000800a21c0: f9 f9 f9 f9 00 00 00 00 00 00 00 00 00 00 00 00
Shadow byte legend (one shadow byte represents 8 application bytes):
  Addressable:           00
  Partially addressable: 01 02 03 04 05 06 07 
  Heap left redzone:       fa
  Freed heap region:       fd
  Stack left redzone:      f1
  Stack mid redzone:       f2
  Stack right redzone:     f3
  Stack after return:      f5
  Stack use after scope:   f8
  Global redzone:          f9
  Global init order:       f6
  Poisoned by user:        f7
  Container overflow:      fc
  Array cookie:            ac
  Intra object redzone:    bb
  ASan internal:           fe
  Left alloca redzone:     ca
  Right alloca redzone:    cb
==17078==ABORTING
```

## How to Reproduce

1. Compile unit test with ASAN
2. Run build-fprime-automatic-native-ut/bin/Linux/Os_pthreads
3. Program abort

## Expected Behavior

Run normally with ASAN.
",bug,https://github.com/nasa/fprime/issues/431
toString doesn't display the last item in a struct,"| | |
|:---|:---|
|**F` version v3.1.1**| |
|****|   |
---
## Problem Description

Files generated by fpp tools doesn't produce the format string correctly and so the last member of a string doesn't show up as expected. For example 

The take the following struct defined in fpp:
```fpp
  enum CMD_STATUS : U16 {
    NA = 0,
    ACK = 0x5,
    NOT_ACK = 0x6,
    BUSY = 0x7,
    NCE = 0x8,
    STACK_FULL = 0x9,
    TEMP_NOT_ACC = 0x10
  };

  constant ESUP_HEADER_ID = 0x50555345

# NOTE that in byte form it will be represented with LE
  struct EsupPacketHeader {
    HeaderId: U32
    ModuleId: U16
    DataLength: U16
    CmdStatus: CMD_STATUS
  } default {HeaderId = ESUP_HEADER_ID, CmdStatus=CMD_STATUS.NA}


    struct EsupStatusGet {
        Header: EsupPacketHeader
        CmdId: EsupCmdId
        TypeId: U16
        SystemState: U8 @< 1,2,3,4 (1 byte unsigned char value)
        StatusFlags: U8 @< 1 byte unsigned char value
        Reserved: U16 @< 2 byte unsigned short value
        CpuTemperature: F32 @< -40 to 125 °C (4 byte float value)
        FirmwareVersion: U32 @< firmware version (4 byte unsigned int value)
    } default {CmdId = EsupCmdId.ConfGet, TypeId = EsupCmdType.StatusRep}

```

I then go to print out the contents like so:

```cpp
static bool receiveEsupStatusResponse(int serialPort, EsupCmdId cmdId, boost::span<BYTE, GET_PADDED_SIZE(EsupStatusGet::SERIALIZED_SIZE)> txBuff) {
        // Wait for a reply
        EsupStatusGet cmdResult;

        size_t bytesRead = read(serialPort, txBuff.data(), txBuff.size());
        if (bytesRead > 0) {
            FW_CHECK(bytesRead <= txBuff.size(), ""Error deserializing response"", return false; );
            LE_ExternalDeSerializeBuffer responseBuff(txBuff.data(), bytesRead);
            cmdResult.deserialize(responseBuff);
            Fw::String ackString;
            cmdResult.toString(ackString);
            std::cout << std::string(ackString.toChar()) << std::endl;
        } else {
            std::cout << ""No reply received."" << std::endl;
        }

        return true;
  }
```

I get the following:

```bash
(Header = (HeaderId = 1347769157, ModuleId = 8203, DataLength = 0, CmdStatus = ), CmdId = ConfGet, TypeId = 0, SystemState = 162, StatusFlags = 187, Reserved = 53517, CpuTemperature = 0, FirmwareVersion = )
```

Where I would normally expect to see something like this (the actual values don't matter for these purposes just that there is something to print):

```bash
(Header = (HeaderId = 1347769157, ModuleId = 8203, DataLength = 0, CmdStatus = ACK ), CmdId = ConfGet, TypeId = 0, SystemState = 162, StatusFlags = 187, Reserved = 53517, CpuTemperature = 0, FirmwareVersion = 102444)
```

I've found this is consistent across pretty much all the fpp serializable objects and it really comes down to the last member of the struct doesn't have a format string generated along with it

So for example we see with the header type the following gets generated:

```c++
void EsupPacketHeader::toString(Fw::StringBase& text) const {

    static const char * formatString =
       ""(""
       ""HeaderId = %u, ""
       ""ModuleId = %u, ""
       ""DataLength = %u, ""
       ""CmdStatus = ""
       "")"";

    // declare strings to hold any serializable toString() arguments


    Fw::String CmdStatusStr;
    this->m_CmdStatus.toString(CmdStatusStr);

    char outputString[FW_SERIALIZABLE_TO_STRING_BUFFER_SIZE];
    (void)snprintf(outputString,FW_SERIALIZABLE_TO_STRING_BUFFER_SIZE,formatString
       ,this->m_HeaderId
       ,this->m_ModuleId
       ,this->m_DataLength
       ,CmdStatusStr.toChar()
    );
    outputString[FW_SERIALIZABLE_TO_STRING_BUFFER_SIZE-1] = 0; // NULL terminate

    text = outputString;
}
```

With the CmdStatus missing the ""```%s```"".

I'm not really sure what the source of the error is since the xml seems to be fine:

```xml
<serializable namespace=""FlightComputer"" name=""EsupPacketHeader"">
  <import_enum_type>FlightComputer/TransmitterInterface/CMD_STATUSEnumAi.xml</import_enum_type>
  <members>
    <member name=""HeaderId"" type=""U32"" format=""%u"">
      <default>1347769157</default>
    </member>
    <member name=""ModuleId"" type=""U16"" format=""%u"">
      <default>0</default>
    </member>
    <member name=""DataLength"" type=""U16"" format=""%u"">
      <default>0</default>
    </member>
    <member name=""CmdStatus"" type=""FlightComputer::CMD_STATUS"" format=""%s"">
      <default>FlightComputer::CMD_STATUS::NA</default>
    </member>
  </members>
</serializable>
```
I took a look in array_cpp.py and array_cpp.tmpl but couldn't make sense of the issue there.

If I can get some help on this that'd be much appreciated.",bug,https://github.com/nasa/fprime/issues/2748
Install Upgraded PIP in new Project,"| | |
|:---|:---|
|**_F´ Version_**| |
|**_Affected Component_**|  |
---
## Feature Description

Older versions of PIP may pull in non-native tools package.  We should upgrade PIP during the new project setup.  Note: users who don't want this can still decline venv setup entirely.",non-bug,https://github.com/nasa/fprime/issues/2427
Single quote in project parent folder causes installation errors,"| | |
|:---|:---|
|**_F´ Version_**| v3.4.3 |
|**_Affected Component_**|  Installation/Project Setup |
---
## Problem Description

If you name the parent directory of your project such that it has a single quote in it, you'll run into an error when you try to run 'fprime-util generate' during basic project setup. 

## Context / Environment

```
Operating System: Linux
CPU Architecture: x86_64
Platform: Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.35
Python version: 3.10.12
CMake version: 3.22.1
Pip version: 24.0
Pip packages:
    fprime-tools==3.4.4
    fprime-gds==3.4.3
    fprime-fpp-*==2.1.0a3
```

## How to Reproduce

1.  Create a parent directory containing a single quote (For instance, ""F'"")
2.  Follow the basic project setup guide located here: https://fprime-community.github.io/fprime-tutorial-hello-world/docs/NewProject.html 
3. Once you hit 'fprime-util generate', you should soon see an error about an unterminated quote from one of the fprime dependencies. 

## Expected Behavior

Ideally, you'd have a project set up properly in your virtual environment.
",bug,https://github.com/nasa/fprime/issues/2558
Failed to build component,"| | |
|:---|:---|
|**_F´ Version_**| 3.2.0 |
|**_Affected Component_**| n/a |
---
## Problem Description

During the deployment step in the tutorial, I got the following error:
```
/home/fox/fprime/MyProject/MyDeployment/Top/instances.fpp: 85.17
  instance fox: Components.MyComponent base id 0x0F00 \
                ^
error: undefined symbol Components
gmake[3]: *** [MyDeployment/Top/CMakeFiles/MyDeployment_Top.dir/build.make:112: MyDeployment/Top/MyDeploymentTopologyAppAi.xml]
Error 1
gmake[2]: *** [CMakeFiles/Makefile2:8240: MyDeployment/Top/CMakeFiles/MyDeployment_Top.dir/all] Error 2
gmake[1]: *** [CMakeFiles/Makefile2:2002: CMakeFiles/MyDeployment.dir/rule] Error 2
gmake: *** [Makefile:195: MyDeployment] Error 2
[ERROR] CMake erred with return code 2
```

However, the directory, `Components`, was presented in the project's root directory.

A workaround for this is to append the following to `CMakeLists.txt` in the deployment directory (`MyDeployment/` in my case):
```
add_fprime_subdirectory(""${CMAKE_CURRENT_LIST_DIR}/../Components/MyComponent"")
```

I guess command `fprime-util new --deployment` should populate the `CMakeLists.txt` properly, but for some reason it didn't. Any thoughts?

Thanks!

## How to Reproduce

Follow the [official tutorial](https://fprime-community.github.io/fprime-tutorial-hello-world).

## Expected Behavior

A Successful build.
",bug,https://github.com/nasa/fprime/issues/2156
fprime-gds: default file downlink directory can overwrite files,"| | |
|:---|:---|
|**_F´ Version_**|[v3.4.3](https://github.com/fprime-community/fprime-gds/releases/tag/v3.4.3) |
|**_Affected Component_**| n/a |
---
## Feature Description

Have GDS created a time-tag directory for file downlinks.

Make the default be `logs/<time tag>/fprime-downlink` to match telemetry and events.

Also, make a separate argument for uplink and downlink. It makes sense to automatically separate downlinked files, but uplink may wish to be in a common store.

## Rationale

The default `/tmp/username` (or even overridden with `--file-storage-directory`) directory for file downlinks can cause new instances to overwrite older files, or cause parallel instances to clobber each other.
",non-bug,https://github.com/nasa/fprime/issues/2657
Update FileDownlink to report file progress,"| | |
|:---|:---|
|**_F´ Version_**|v3.4.3 |
|**_Affected Component_**| `Svc/FileDownlink` |
---
## Feature Description

`Svc/FileDownlink` currently only reports completion status back to the sender only when the file is complete. This will make re-transmitting data products inefficient since the Data Catalog has no idea how far partial transmits made it before the link dropped or the system was powered down. 

This feature would report partial progress back to DP Catalog can restart transmits.

## Rationale

Make data product downlink management more efficient.
",non-bug,https://github.com/nasa/fprime/issues/2833
Add human-readable prompt to cookiecutter usages,"| | |
|:---|:---|
|**_F´ Version_**| |
|**_Affected Component_**|  |
---
## Feature Description

I opened a feature request (https://github.com/cookiecutter/cookiecutter/issues/1835) to cookiecutter a while back to add prompts/descriptions to fields to have a better user experience. And apparently [they went with it](https://github.com/cookiecutter/cookiecutter/pull/1898)! 🎉 
Released in https://github.com/cookiecutter/cookiecutter/releases/tag/2.2.3 - we should try to upgrade and add better prompts.

Once we add that in, our tutorials should be updated to reflect those better prompts. Shouldn't be too much work.

## Rationale

Better user experience for `fprime-util new ...`
",non-bug,https://github.com/nasa/fprime/issues/2130
seq_gen : Error in example .seq file,"When using [seq_gen.py](https://github.com/nasa/fprime/blob/devel/Gds/src/fprime_gds/common/tools/seqgen.py) the [cmd_xml_loader](https://github.com/nasa/fprime/blob/devel/Gds/src/fprime_gds/common/loaders/cmd_xml_loader.py) returns ""components.mnemonic"". If mnemonic is given without component name in .seq file, it will fail ([here](https://github.com/nasa/fprime/blob/22a032e5f98bbe4c91a91b88ec756aa567db7588/Gds/src/fprime_gds/common/tools/seqgen.py#L79)) binary generation when trying to find command in xml dictonary.

https://github.com/nasa/fprime/blob/22a032e5f98bbe4c91a91b88ec756aa567db7588/Gds/examples/simple_sequence.seq#L9",bug,https://github.com/nasa/fprime/issues/273
Hardcoded buffer size in TcpClient/TcpDriver/Udp,"| | |
|:---|:---|
|**_F´ Version_**| |
|**_Affected Component_**|   |
---
## Problem Description

See https://github.com/nasa/fprime/blob/da4b1daae77f46a940733fbb20a4be8efd3a89b8/Drv/TcpClient/TcpClientComponentImpl.cpp#L50-L51

We should do like UARTDriver (see [here](https://github.com/nasa/fprime/blob/da4b1daae77f46a940733fbb20a4be8efd3a89b8/Drv/LinuxUartDriver/LinuxUartDriver.cpp#L46-L47)) and configure the size at configure() time so that it can be configured for each instance in the topology. Set a default size of 1024 so that it doesn't break any existing code.",non-bug,https://github.com/nasa/fprime/issues/2074
